,Country,Type of alcohol,Value
0,Afghanistan,Beer Servings,0.0
1,Afghanistan,Spirit Servings,0.0
2,Afghanistan,Wine Servings,0.0
3,Afghanistan,Total litres of pure alcohol,0.0
4,Albania,Beer Servings,89.0
5,Albania,Spirit Servings,132.0
6,Albania,Wine Servings,54.0
7,Albania,Total litres of pure alcohol,4.9
8,Algeria,Beer Servings,25.0
9,Algeria,Spirit Servings,0.0
10,Algeria,Wine Servings,14.0
11,Algeria,Total litres of pure alcohol,0.7
12,Andorra,Beer Servings,245.0
13,Andorra,Spirit Servings,138.0
14,Andorra,Wine Servings,312.0
15,Andorra,Total litres of pure alcohol,12.4
16,Angola,Beer Servings,217.0
17,Angola,Spirit Servings,57.0
18,Angola,Wine Servings,45.0
19,Angola,Total litres of pure alcohol,5.9
20,Antigua & Barbuda,Beer Servings,102.0
21,Antigua & Barbuda,Spirit Servings,128.0
22,Antigua & Barbuda,Wine Servings,45.0
23,Antigua & Barbuda,Total litres of pure alcohol,4.9
24,Argentina,Beer Servings,193.0
25,Argentina,Spirit Servings,25.0
26,Argentina,Wine Servings,221.0
27,Argentina,Total litres of pure alcohol,8.3
28,Armenia,Beer Servings,21.0
29,Armenia,Spirit Servings,179.0
30,Armenia,Wine Servings,11.0
31,Armenia,Total litres of pure alcohol,3.8
32,Australia,Beer Servings,261.0
33,Australia,Spirit Servings,72.0
34,Australia,Wine Servings,212.0
35,Australia,Total litres of pure alcohol,10.4
36,Austria,Beer Servings,279.0
37,Austria,Spirit Servings,75.0
38,Austria,Wine Servings,191.0
39,Austria,Total litres of pure alcohol,9.7
40,Azerbaijan,Beer Servings,21.0
41,Azerbaijan,Spirit Servings,46.0
42,Azerbaijan,Wine Servings,5.0
43,Azerbaijan,Total litres of pure alcohol,1.3
44,Bahamas,Beer Servings,122.0
45,Bahamas,Spirit Servings,176.0
46,Bahamas,Wine Servings,51.0
47,Bahamas,Total litres of pure alcohol,6.3
48,Bahrain,Beer Servings,42.0
49,Bahrain,Spirit Servings,63.0
50,Bahrain,Wine Servings,7.0
51,Bahrain,Total litres of pure alcohol,2.0
52,Bangladesh,Beer Servings,0.0
53,Bangladesh,Spirit Servings,0.0
54,Bangladesh,Wine Servings,0.0
55,Bangladesh,Total litres of pure alcohol,0.0
56,Barbados,Beer Servings,143.0
57,Barbados,Spirit Servings,173.0
58,Barbados,Wine Servings,36.0
59,Barbados,Total litres of pure alcohol,6.3
60,Belarus,Beer Servings,142.0
61,Belarus,Spirit Servings,373.0
62,Belarus,Wine Servings,42.0
63,Belarus,Total litres of pure alcohol,14.4
64,Belgium,Beer Servings,295.0
65,Belgium,Spirit Servings,84.0
66,Belgium,Wine Servings,212.0
67,Belgium,Total litres of pure alcohol,10.5
68,Belize,Beer Servings,263.0
69,Belize,Spirit Servings,114.0
70,Belize,Wine Servings,8.0
71,Belize,Total litres of pure alcohol,6.8
72,Benin,Beer Servings,34.0
73,Benin,Spirit Servings,4.0
74,Benin,Wine Servings,13.0
75,Benin,Total litres of pure alcohol,1.1
76,Bhutan,Beer Servings,23.0
77,Bhutan,Spirit Servings,0.0
78,Bhutan,Wine Servings,0.0
79,Bhutan,Total litres of pure alcohol,0.4
80,Bolivia,Beer Servings,167.0
81,Bolivia,Spirit Servings,41.0
82,Bolivia,Wine Servings,8.0
83,Bolivia,Total litres of pure alcohol,3.8
84,Bosnia-Herzegovina,Beer Servings,76.0
85,Bosnia-Herzegovina,Spirit Servings,173.0
86,Bosnia-Herzegovina,Wine Servings,8.0
87,Bosnia-Herzegovina,Total litres of pure alcohol,4.6
88,Botswana,Beer Servings,173.0
89,Botswana,Spirit Servings,35.0
90,Botswana,Wine Servings,35.0
91,Botswana,Total litres of pure alcohol,5.4
92,Brazil,Beer Servings,245.0
93,Brazil,Spirit Servings,145.0
94,Brazil,Wine Servings,16.0
